Filename: ubcmaBtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  2.8000000000E+01  6.1279938057E-01  1.5201285972E+06  9.3247779399E+05  9.3153386276E+05  1.5220622603E+06
  2.9000000000E+01  6.2883682174E-01  1.4332021255E+06  9.0217937116E+05  9.0125026953E+05  1.4349415306E+06
  3.0000000000E+01  6.4427061516E-01  1.3536651836E+06  8.7304678868E+05  8.7212670057E+05  1.3553134109E+06
  3.1000000000E+01  6.5882490607E-01  1.2812958359E+06  8.4505909229E+05  8.4414960873E+05  1.2829514207E+06
  3.2000000000E+01  6.7222540461E-01  1.2157913780E+06  8.1817801190E+05  8.1728585099E+05  1.2173003870E+06
  3.3000000000E+01  6.8525159935E-01  1.1550420585E+06  7.9236844942E+05  7.9149441788E+05  1.1564969463E+06
  3.4000000000E+01  6.9801080642E-01  1.0985926761E+06  7.6767355473E+05  7.6682955976E+05  1.1000919623E+06
  3.5000000000E+01  7.0951321660E-01  1.0475005855E+06  7.4402092089E+05  7.4321550980E+05  1.0488497813E+06
  3.6000000000E+01  7.2042188456E-01  1.0000614371E+06  7.2125306040E+05  7.2046614517E+05  1.0012848413E+06
  3.7000000000E+01  7.3083324023E-01  9.5585812091E+05  6.9935793382E+05  6.9857288770E+05  9.5699331536E+05
  3.8000000000E+01  7.4099675938E-01  9.1441476674E+05  6.7836216873E+05  6.7757837889E+05  9.1553698813E+05
  3.9000000000E+01  7.5114886736E-01  8.7537972541E+05  6.5830344971E+05  6.5754048925E+05  8.7659012827E+05
  4.0000000000E+01  7.6022063257E-01  8.3978656519E+05  6.3914238174E+05  6.3842307381E+05  8.4089706061E+05
  4.1000000000E+01  7.6904854438E-01  8.0627242481E+05  6.2075079193E+05  6.2006263468E+05  8.0728756118E+05
  4.2000000000E+01  7.7741161065E-01  7.7493968585E+05  6.0312348437E+05  6.0244710933E+05  7.7587079809E+05
  4.3000000000E+01  7.8541381372E-01  7.4552532898E+05  5.8623079169E+05  5.8554589186E+05  7.4639955837E+05
  4.4000000000E+01  7.9333144952E-01  7.1772875069E+05  5.7009612578E+05  5.6939679015E+05  7.1861057900E+05
  4.5000000000E+01  8.0151029449E-01  6.9129704315E+05  5.5477447042E+05  5.5408169664E+05  6.9229002169E+05
  4.6000000000E+01  8.0860139058E-01  6.6730544078E+05  5.4023730469E+05  5.3958410736E+05  6.6822633664E+05
  4.7000000000E+01  8.1538361163E-01  6.4471854959E+05  5.2631044137E+05  5.2569293945E+05  6.4557503161E+05
  4.8000000000E+01  8.2187446923E-01  6.2342330441E+05  5.1296137888E+05  5.1237569742E+05  6.2422232574E+05
  4.9000000000E+01  8.2807843179E-01  6.0332294099E+05  5.0015754232E+05  4.9959871484E+05  6.0406969635E+05
  5.0000000000E+01  8.3398669393E-01  5.8432751948E+05  4.8786191632E+05  4.8732137615E+05  5.8502630975E+05
  5.1000000000E+01  8.3954707376E-01  5.6636990136E+05  4.7603162840E+05  4.7549419335E+05  5.6702557424E+05
  5.2000000000E+01  8.4484654488E-01  5.4930668977E+05  4.6463495462E+05  4.6407985893E+05  5.4993455907E+05
  5.3000000000E+01  8.5013949931E-01  5.3297245423E+05  4.5368628683E+05  4.5310093538E+05  5.3361997883E+05
  5.4000000000E+01  8.5594877996E-01  5.1715077432E+05  4.4325304578E+05  4.4265457433E+05  5.1792020772E+05
  5.5000000000E+01  8.6075767861E-01  5.0279364089E+05  4.3335499420E+05  4.3278348715E+05  5.0351958024E+05
  5.6000000000E+01  8.6537923860E-01  4.8913555170E+05  4.2383545946E+05  4.2328775131E+05  4.8982304883E+05
  5.7000000000E+01  8.6985358754E-01  4.7611982002E+05  4.1468056451E+05  4.1415453354E+05  4.7677622398E+05
  5.8000000000E+01  8.7414299489E-01  4.6373723479E+05  4.0587770195E+05  4.0537265526E+05  4.6436363371E+05
  5.9000000000E+01  8.7823791296E-01  4.5195027958E+05  3.9740505211E+05  3.9691987031E+05  4.5254664038E+05
  6.0000000000E+01  8.8216232388E-01  4.4070580153E+05  3.8924120100E+05  3.8877405402E+05  4.4127419469E+05
  6.1000000000E+01  8.8597082876E-01  4.2994854631E+05  3.8137265227E+05  3.8092186989E+05  4.3049277155E+05
  6.2000000000E+01  8.8963002690E-01  4.1967321596E+05  3.7378923340E+05  3.7335389441E+05  4.2019505859E+05
  6.3000000000E+01  8.9313694603E-01  4.0985390059E+05  3.6647639093E+05  3.6605566109E+05  4.1035406738E+05
  6.4000000000E+01  8.9650156551E-01  4.0045852091E+05  3.5941885371E+05  3.5901169092E+05  4.0093839318E+05
  6.5000000000E+01  8.9973073632E-01  3.9145914493E+05  3.5260248966E+05  3.5220782471E+05  3.9192027384E+05
  6.6000000000E+01  9.0282224686E-01  3.8283201003E+05  3.4601282623E+05  3.4562925547E+05  3.8327546285E+05
  6.7000000000E+01  9.0576617468E-01  3.7455254769E+05  3.3963275193E+05  3.3925702834E+05  3.7497901892E+05
  6.8000000000E+01  9.0853207771E-01  3.6659652428E+05  3.3344102119E+05  3.3306470189E+05  3.6700651616E+05
  6.9000000000E+01  9.1111442900E-01  3.5892481552E+05  3.2741565826E+05  3.2702157834E+05  3.5932410058E+05
  7.0000000000E+01  9.1370815696E-01  3.5145478999E+05  3.2155821619E+05  3.2112710842E+05  3.5187286028E+05
  7.1000000000E+01  9.1703219773E-01  3.4401130810E+05  3.1593131520E+05  3.1546944591E+05  3.4453990317E+05
  7.2000000000E+01  9.1949785738E-01  3.3731329581E+05  3.1060546862E+05  3.1015885277E+05  3.3782223376E+05
  7.3000000000E+01  9.2187380127E-01  3.3086631919E+05  3.0544927513E+05  3.0501699139E+05  3.3135687742E+05
  7.4000000000E+01  9.2416382885E-01  3.2465771269E+05  3.0045572945E+05  3.0003691482E+05  3.2513107562E+05
  7.5000000000E+01  9.2637150599E-01  3.1867563473E+05  2.9561818277E+05  2.9521202766E+05  3.1913290314E+05
  7.6000000000E+01  9.2850018094E-01  3.1290897995E+05  2.9093030153E+05  2.9053604450E+05  3.1335117659E+05
  7.7000000000E+01  9.3055303175E-01  3.0734728597E+05  2.8638603038E+05  2.8600294876E+05  3.0777536131E+05
  7.8000000000E+01  9.3253282589E-01  3.0198070838E+05  2.8197953211E+05  2.8160692335E+05  3.0239555735E+05
  7.9000000000E+01  9.3444106314E-01  2.9680008484E+05  2.7770503971E+05  2.7734218682E+05  2.9720253676E+05
  8.0000000000E+01  9.3628003119E-01  2.9179618689E+05  2.7355680883E+05  2.7320294297E+05  2.9218711260E+05
