Filename: ubcmaCtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  9.2000000000E+01  2.9702910405E-01  1.3726766042E+05  4.0801998364E+04  4.0772490189E+04  1.3755454648E+05
  9.3000000000E+01  3.5753171570E-01  1.3644955996E+05  4.8831739060E+04  4.8785045278E+04  1.3673038908E+05
  9.4000000000E+01  3.4231923187E-01  1.3461655671E+05  4.6122777693E+04  4.6081836289E+04  1.3489510124E+05
  9.5000000000E+01  3.6433425761E-01  1.3335853222E+05  4.8632855107E+04  4.8587081832E+04  1.3363336713E+05
  9.6000000000E+01  3.7530478870E-01  1.3188043649E+05  4.9542599186E+04  4.9495359350E+04  1.3215074937E+05
  9.7000000000E+01  3.7904286724E-01  1.3030572614E+05  4.9438625792E+04  4.9391456054E+04  1.3057141795E+05
  9.8000000000E+01  3.8118511244E-01  1.2874543335E+05  4.9122689091E+04  4.9075842488E+04  1.2900696313E+05
  9.9000000000E+01  3.8308025421E-01  1.2722636951E+05  4.8784545162E+04  4.8737909973E+04  1.2748390609E+05
  1.0000000000E+02  3.8461592152E-01  1.2574782161E+05  4.8411101806E+04  4.8364614288E+04  1.2600119854E+05
  1.0100000000E+02  3.8609043145E-01  1.2429710101E+05  4.8036342571E+04  4.7989921359E+04  1.2454655942E+05
  1.0200000000E+02  3.8749060805E-01  1.2288333614E+05  4.7662624254E+04  4.7616138640E+04  1.2312913169E+05
  1.0300000000E+02  3.8886983802E-01  1.2150776535E+05  4.7297392326E+04  4.7250705031E+04  1.2175014857E+05
  1.0400000000E+02  3.9022198816E-01  1.2017018607E+05  4.6940167898E+04  4.6893048927E+04  1.2040944623E+05
  1.0500000000E+02  3.9155487458E-01  1.1886701280E+05  4.6591062433E+04  4.6542958286E+04  1.1910345648E+05
  1.0600000000E+02  3.9289027556E-01  1.1759189766E+05  4.6251276313E+04  4.6200713074E+04  1.1782711936E+05
  1.0700000000E+02  3.9427137502E-01  1.1632207363E+05  4.5918255114E+04  4.5862463916E+04  1.1656477799E+05
  1.0800000000E+02  3.9610727083E-01  1.1495626748E+05  4.5597479578E+04  4.5535013375E+04  1.1524863875E+05
  1.0900000000E+02  3.9754767602E-01  1.1381428235E+05  4.5308202679E+04  4.5246603447E+04  1.1410166551E+05
  1.1000000000E+02  3.9903462695E-01  1.1271032276E+05  4.5036092771E+04  4.4975321596E+04  1.1299287579E+05
  1.1100000000E+02  4.0066808887E-01  1.1165346808E+05  4.4795990719E+04  4.4735981671E+04  1.1193133147E+05
  1.1200000000E+02  4.0302726097E-01  1.1066920062E+05  4.4662200661E+04  4.4602704798E+04  1.1094247805E+05
  1.1300000000E+02  4.0954640532E-01  1.0979802910E+05  4.5027672632E+04  4.4967388129E+04  1.1006676498E+05
  1.1400000000E+02  4.2741713368E-01  1.0899805728E+05  4.6652085531E+04  4.6587637218E+04  1.0926234124E+05
  1.1500000000E+02  4.2745966169E-01  1.0798564412E+05  4.6222716533E+04  4.6159506903E+04  1.0824591447E+05
  1.1600000000E+02  4.3101551004E-01  1.0703445048E+05  4.6196513977E+04  4.6133508267E+04  1.0729078966E+05
  1.1700000000E+02  4.3223322128E-01  1.0607658316E+05  4.5912037855E+04  4.5849823243E+04  1.0632914753E+05
  1.1800000000E+02  4.3388852188E-01  1.0514673502E+05  4.5683477409E+04  4.5621961438E+04  1.0539564165E+05
  1.1900000000E+02  4.3502610521E-01  1.0423459476E+05  4.5405533754E+04  4.5344769785E+04  1.0447995545E+05
  1.2000000000E+02  4.3622564593E-01  1.0334929660E+05  4.5143673614E+04  4.5083613665E+04  1.0359121440E+05
  1.2100000000E+02  4.3763106148E-01  1.0249519889E+05  4.4914511685E+04  4.4855082687E+04  1.0273376831E+05
  1.2200000000E+02  4.4000857791E-01  1.0167911025E+05  4.4798763393E+04  4.4739680705E+04  1.0191441163E+05
  1.2300000000E+02  4.4457046324E-01  1.0089016355E+05  4.4912112789E+04  4.4852786745E+04  1.0112228543E+05
  1.2400000000E+02  4.4515020394E-01  1.0007309130E+05  4.4606086766E+04  4.4547556999E+04  1.0030218494E+05
  1.2500000000E+02  4.4663105189E-01  9.9286066999E+04  4.4402223970E+04  4.4344240541E+04  9.9512207934E+04
  1.2600000000E+02  4.4780882550E-01  9.8513973822E+04  4.4172814881E+04  4.4115426913E+04  9.8737251068E+04
  1.2700000000E+02  4.4899687712E-01  9.7759584145E+04  4.3950552944E+04  4.3893747989E+04  9.7980080108E+04
  1.2800000000E+02  4.5008313345E-01  9.7020749873E+04  4.3723629455E+04  4.3667403113E+04  9.7238542796E+04
  1.2900000000E+02  4.5120343875E-01  9.6298857121E+04  4.3506048186E+04  4.3450375481E+04  9.6514021802E+04
