Filename: lbcmaAtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  6.80       34   80 0.407     9.859E-04
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.863E+04  12.5     6.863E+04
F107,F107A,MLAT,MLONG:  150.      150.      66.0      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  3.3400000000E+02  6.0543448364E-01  3.6713569390E+04  2.2267627024E+04  2.2227660926E+04  3.6818801377E+04
  3.3500000000E+02  6.0387454850E-01  3.6699859515E+04  2.2202128700E+04  2.2162111095E+04  3.6805430125E+04
  3.3600000000E+02  5.9169717216E-01  3.6647988273E+04  2.1723228627E+04  2.1684511027E+04  3.6754023315E+04
  3.3700000000E+02  5.9116475571E-01  3.6656152833E+04  2.1708861365E+04  2.1669825635E+04  3.6762403381E+04
  3.3800000000E+02  5.9172589658E-01  3.6671801908E+04  2.1739064483E+04  2.1699654863E+04  3.6778268617E+04
  3.3900000000E+02  5.9266412661E-01  3.6689293660E+04  2.1784329189E+04  2.1744428183E+04  3.6796016788E+04
  3.4000000000E+02  5.9353323943E-01  3.6704545261E+04  2.1825820228E+04  2.1785367650E+04  3.6811585781E+04
  3.4100000000E+02  5.9398573221E-01  3.6714321783E+04  2.1848817968E+04  2.1807783307E+04  3.6821763605E+04
  3.4200000000E+02  5.9340087368E-01  3.6714767306E+04  2.1828180627E+04  2.1786574996E+04  3.6822694977E+04
  3.4300000000E+02  5.8689344322E-01  3.6691488518E+04  2.1575718491E+04  2.1533994033E+04  3.6800147032E+04
  3.4400000000E+02  5.8104198723E-01  3.6675041005E+04  2.1353211884E+04  2.1309738707E+04  3.6785372962E+04
  3.4500000000E+02  5.8222954334E-01  3.6646171204E+04  2.1386185649E+04  2.1336483525E+04  3.6774478363E+04
  3.4600000000E+02  5.8289743302E-01  3.6667852054E+04  2.1423363246E+04  2.1373596837E+04  3.6796134750E+04
  3.4700000000E+02  5.8376381746E-01  3.6690208807E+04  2.1468283654E+04  2.1418416357E+04  3.6818471114E+04
  3.4800000000E+02  5.8437973774E-01  3.6709802227E+04  2.1502396324E+04  2.1452464598E+04  3.6838057342E+04
  3.4900000000E+02  5.8348135493E-01  3.6717152639E+04  2.1473541100E+04  2.1423773971E+04  3.6845430664E+04
  3.5000000000E+02  5.7421755569E-01  3.6693432901E+04  2.1118328456E+04  2.1070013351E+04  3.6821798763E+04
  3.5100000000E+02  5.7349890913E-01  3.6713830448E+04  2.1103601399E+04  2.1055341712E+04  3.6842187282E+04
  3.5200000000E+02  5.7427344976E-01  3.6742606956E+04  2.1148648497E+04  2.1100303650E+04  3.6870954840E+04
  3.5300000000E+02  5.7500087900E-01  3.6770077044E+04  2.1191260394E+04  2.1142826621E+04  3.6898422646E+04
  3.5400000000E+02  5.7512763390E-01  3.6791247240E+04  2.1208095183E+04  2.1159662973E+04  3.6919608333E+04
  3.5500000000E+02  5.7052592843E-01  3.6792530611E+04  2.1038775397E+04  2.0991092686E+04  3.6920953706E+04
  3.5600000000E+02  5.6607171461E-01  3.6798883557E+04  2.0877894149E+04  2.0830807111E+04  3.6927348938E+04
